'','',''
,,
0.48982899454465556,0.3479314095610709,0.5273970340623121
***,***,***
0.5025339642721991,0.35680256243694913,0.538156593756589
***,***,***
0.5025339642721991,0.35680256243694913,0.538045763684341
0.5067520804427397,0.360255870963698,0.5491044187332649
0.5371596517091305,0.3817705758072874,0.5792247424021876
0.5675672229755213,0.40328528065087665,0.6103850864316024
0.5789173396505964,0.41149325618064864,0.6255660714227446
0.5902674563256717,0.41970123171042073,0.6417628749665842
0.45709877885345523,0.3275830846367851,0.4963349118961473
0.23925379588176382,0.17647070824934563,0.3384772617414899
0.23174494355458874,0.1717444830034009,0.345133823455292
0.17368909718735,0.1331258884651001,0.32292164768604464
0.15221131748253364,0.1199836952890306,0.3133928241825074
0.08545185970628734,0.07341773208895715,0.25986394397360757
0.07991679726933718,0.06845480370221176,0.2505410628212168
0.07100508876779144,0.05992490240299166,0.23477299373744734
0.04905338909570215,0.04142123659821334,0.2166876941346097
0.0199822330663847,0.01691472502525984,0.2028328474340261
0.02280567844979337,0.01613602863269219,0.20057126328056143
0.00506792854439853,0.00358578414059826,0.20002821053237416
0.00760189281659779,0.0053786762108974,0.20006347369784078
0.00506792854439853,0.00358578414059826,0.20002821053237416
0.00760189281659779,0.0053786762108974,0.20006347369784078
0.02533964272199263,0.01792892070299133,0.20070526330933552
0.01266982136099632,0.00896446035149566,0.2001763158273348
0.00253396427219926,0.00179289207029913,0.20000706221055692
0.00253396427219926,0.00179289207029913,0.2000070526330935
0.00253396427219926,0.00179289207029913,0.2000070526330935
0.00253396427219926,0.00179289207029913,0.20000705614483044
0.00253396427219926,0.00179289207029913,0.20000716426386414
***,***,***
0.49300523697654136,0.35014919778004044,0.5047628560129983
0.49847138228431787,0.3547157757316127,0.5178582075222772
0.5288789535507087,0.3762304805752021,0.5674990292919205
0.5497577975214417,0.3910918207618828,0.6037553603975166
0.4679645457555722,0.3348450473007517,0.462458366914076
0.49240938997857253,0.3520837209889441,0.49917750475184025
0.4681406557454884,0.33590477674072816,0.46678813423587795
0.48901949971622144,0.35076611692740883,0.5027008926156994
0.4403007938635709,0.3179181514884822,0.44433079188251745
0.3951480882631881,0.2874475195510672,0.40156579372442236
0.31642938241053786,0.2332989738901416,0.33700347144422504
0.21109513906424532,0.1600130195195989,0.2252336393978648
0.17251709684051394,0.1349733879921187,0.19645875024216833
0.14300909750275936,0.1168082494010691,0.1838032400688417
0.10895733082136085,0.09254513149615452,0.13230766554372334
0.09732789401504961,0.08112515908818785,0.0864216492973967
0.09268284166891817,0.0766962367559337,0.07294713480394716
***,***,***
0.4993577218403133,0.3545847742179795,0.5135765085647395
0.5285766263559483,0.3753070345610651,0.5632248038026156
0.5438466314013536,0.38628995858561854,0.585942694956877
0.5710779602358584,0.40558687521023834,0.6309169479369431
0.5911841471682475,0.42002686070468964,0.6645769633723208
0.5951016673498809,0.42302411158763753,0.6692830388739675
0.6175851877837818,0.43904898608309656,0.7056290158331652
0.6187424752459411,0.4401995385553493,0.7046095795892876
0.6100143880865109,0.43464646148673863,0.6858080213534345
0.5999338160633086,0.42820790468385517,0.6691531176738438
0.5907897191914664,0.42228373780696987,0.6546810110660676
0.5770616320320362,0.41318056403469267,0.629668045081897
0.585432434882691,0.41937306697785104,0.6460383447407417
0.5687802968907708,0.4083301595611098,0.6214428729267737
0.5189781683589952,0.3739804282291327,0.5444121876572304
0.4964387479503208,0.35856950555002626,0.5148923511489988
0.42752390183529954,0.3108373059620819,0.4355873339904107
0.40620860399853254,0.29553151567240316,0.4120260444660598
0.40335433826317973,0.29267234127996694,0.4066656989530355
0.39399861014765475,0.28512413881193244,0.39212569610507925
0.36706146253793354,0.2660615211382961,0.357396165942108
0.33835938682528127,0.24659538828638164,0.3151038295299194
0.3102317001451722,0.22766003447710073,0.27629162563160853
0.29246751939341414,0.21577287483196247,0.2521100548090576
0.27351467189090034,0.20309327068632038,0.2289209836557058
0.25638558195650063,0.19174597502537527,0.2110482690544058
0.21393438997871767,0.16296454086796247,0.17068165267148674
0.1817582516083736,0.13947125735802784,0.13326321283835452
***,***,***
0.502296230922048,0.3566440735368483,0.520842911723631
0.5327038021884388,0.3781587783804377,0.5709987490073816
0.5627138583186037,0.3993884144803339,0.6199495659713827
0.5876688879603741,0.41711535759334906,0.6601484565700567
0.6155407156596624,0.4368981407669092,0.7073164026956295
0.6441257434094039,0.45715639064077174,0.7562123136305265
0.6715234761288736,0.4766017431887013,0.8041780945524899
0.695843257284267,0.49388512865792256,0.8476515662827152
0.7200261817292676,0.5111212470568454,0.8914508059801102
